checkpoint_name,timestamp,land_use,accessibility,person_windows,households,persons,school_destination_size,workplace_destination_size,school_modeled_size,workplace_modeled_size,tours,joint_tour_participants,trips
initialize_landuse,2020-01-23 14:50:18.385115,initialize_landuse,initialize_landuse,,,,,,,,,,
compute_accessibility,2020-01-23 14:50:18.428994,initialize_landuse,compute_accessibility,,,,,,,,,,
initialize_households,2020-01-23 14:50:18.704875,initialize_landuse,compute_accessibility,initialize_households,initialize_households,initialize_households,initialize_households,initialize_households,,,,,
school_location,2020-01-23 14:50:20.839469,initialize_landuse,compute_accessibility,initialize_households,initialize_households,school_location,initialize_households,initialize_households,school_location,,,,
workplace_location,2020-01-23 14:50:23.693619,initialize_landuse,compute_accessibility,initialize_households,workplace_location,workplace_location,initialize_households,initialize_households,school_location,workplace_location,,,
auto_ownership_simulate,2020-01-23 14:50:23.840757,initialize_landuse,compute_accessibility,initialize_households,auto_ownership_simulate,workplace_location,initialize_households,initialize_households,school_location,workplace_location,,,
free_parking,2020-01-23 14:50:23.939516,initialize_landuse,compute_accessibility,initialize_households,auto_ownership_simulate,free_parking,initialize_households,initialize_households,school_location,workplace_location,,,
cdap_simulate,2020-01-23 14:50:31.104173,initialize_landuse,compute_accessibility,initialize_households,cdap_simulate,cdap_simulate,initialize_households,initialize_households,school_location,workplace_location,,,
mandatory_tour_frequency,2020-01-23 14:50:31.421639,initialize_landuse,compute_accessibility,initialize_households,cdap_simulate,mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,mandatory_tour_frequency,,
mandatory_tour_scheduling,2020-01-23 14:50:35.378618,initialize_landuse,compute_accessibility,mandatory_tour_scheduling,cdap_simulate,mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,mandatory_tour_scheduling,,
joint_tour_frequency,2020-01-23 14:50:35.656637,initialize_landuse,compute_accessibility,mandatory_tour_scheduling,joint_tour_frequency,mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,joint_tour_frequency,,
joint_tour_composition,2020-01-23 14:50:35.838168,initialize_landuse,compute_accessibility,mandatory_tour_scheduling,joint_tour_frequency,mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,joint_tour_composition,,
joint_tour_participation,2020-01-23 14:50:36.126700,initialize_landuse,compute_accessibility,mandatory_tour_scheduling,joint_tour_frequency,joint_tour_participation,initialize_households,initialize_households,school_location,workplace_location,joint_tour_participation,joint_tour_participation,
joint_tour_destination,2020-01-23 14:50:38.228609,initialize_landuse,compute_accessibility,mandatory_tour_scheduling,joint_tour_frequency,joint_tour_participation,initialize_households,initialize_households,school_location,workplace_location,joint_tour_destination,joint_tour_participation,
joint_tour_scheduling,2020-01-23 14:50:38.615571,initialize_landuse,compute_accessibility,joint_tour_scheduling,joint_tour_frequency,joint_tour_participation,initialize_households,initialize_households,school_location,workplace_location,joint_tour_scheduling,joint_tour_participation,
non_mandatory_tour_frequency,2020-01-23 14:50:41.011209,initialize_landuse,compute_accessibility,joint_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,non_mandatory_tour_frequency,joint_tour_participation,
non_mandatory_tour_destination,2020-01-23 14:50:45.361508,initialize_landuse,compute_accessibility,joint_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,non_mandatory_tour_destination,joint_tour_participation,
non_mandatory_tour_scheduling,2020-01-23 14:50:46.661614,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,non_mandatory_tour_scheduling,joint_tour_participation,
tour_mode_choice_simulate,2020-01-23 14:50:51.143561,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,tour_mode_choice_simulate,joint_tour_participation,
atwork_subtour_frequency,2020-01-23 14:50:51.314136,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,atwork_subtour_frequency,joint_tour_participation,
atwork_subtour_destination,2020-01-23 14:50:52.055116,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,atwork_subtour_destination,joint_tour_participation,
atwork_subtour_scheduling,2020-01-23 14:50:52.391244,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,atwork_subtour_scheduling,joint_tour_participation,
atwork_subtour_mode_choice,2020-01-23 14:50:53.007590,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,atwork_subtour_mode_choice,joint_tour_participation,
stop_frequency,2020-01-23 14:50:53.828849,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,stop_frequency
trip_purpose,2020-01-23 14:50:53.905641,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_purpose
trip_destination,2020-01-23 14:51:14.333253,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_destination
trip_purpose_and_destination,2020-01-23 14:51:14.393093,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_purpose_and_destination
trip_scheduling,2020-01-23 14:51:14.633685,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_scheduling
trip_mode_choice,2020-01-23 14:51:19.439047,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_mode_choice
write_data_dictionary,2020-01-23 14:51:19.476945,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_mode_choice
track_skim_usage,2020-01-23 14:51:19.526812,initialize_landuse,compute_accessibility,non_mandatory_tour_scheduling,joint_tour_frequency,non_mandatory_tour_frequency,initialize_households,initialize_households,school_location,workplace_location,stop_frequency,joint_tour_participation,trip_mode_choice
