household_id,TAZ,SERIALNO,PUMA5,income,hhsize,HHT,UNITTYPE,NOC,BLDGSZ,TENURE,VEHICL,hinccat1,hinccat2,hhagecat,hsizecat,hfamily,hunittype,hNOCcat,hwrkrcat,h0004,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,num_workers,hwork_f,hwork_p,huniv,hnwork,hretire,hpresch,hschpred,hschdriv,htypdwel,hownrent,hadnwst,hadwpst,hadkids,bucketBin,originalPUMA,hmultiunit,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,auto_ownership,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours
982875,16,286778,2203,30900,2,5,0,0,8,3,0,2,4,1,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,0,1,0,9,2203,1,0,30.9,2,8.81,6.021274002645185,0,2,2,0,0,0,0,0,2,True,False,True,False,1,0.21249998,0,2,2,0,0,2,True,0_tours,0
1810015,16,9947661,2203,99700,9,2,0,0,5,3,1,3,8,1,5,2,0,0,3,1,0,0,0,3,3,1,1,0,0,4,2,1,1,3,0,1,0,1,2,2,1,1,3,7,2203,1,1,99.7,3,10.44,3.705326363656352,5,8,8,1,1,0,0,3,3,False,True,True,False,1,0.6841301,0,7,6,1,1,6,True,0_tours,0
1099626,20,2041285,2203,58160,3,1,0,1,5,3,2,3,6,1,3,2,0,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,2,2,1,0,0,7,2203,1,2,58.16,2,8.81,10.708809147889093,2,2,2,1,1,0,0,0,0,False,True,True,False,1,0.19291,0,3,2,1,1,2,True,0_tours,0
763879,6,5360279,2203,59220,1,4,0,0,9,3,1,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,2203,1,3,59.22,2,8.81,10.449019648473794,1,1,1,0,0,0,0,0,0,True,False,True,False,1,0.0,0,1,1,0,0,1,False,,0
824207,18,4646524,2203,51000,1,4,0,0,8,3,1,3,6,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,3,2203,1,4,51.0,2,8.81,17.13534609189038,0,1,1,0,0,0,0,0,1,True,False,True,False,0,0.18706083,0,1,1,0,0,1,False,,0
2822230,8,9396907,2305,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,7,2305,1,5,0.0,1,6.01,7.558195608572484,0,1,1,0,0,0,0,1,0,False,False,True,False,0,0.10683333,0,1,1,0,0,1,False,,0
2821179,8,7744657,2204,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,2,2204,1,6,0.0,1,6.01,1.0,0,1,1,0,0,0,0,0,0,False,False,True,False,0,0.12387166,0,1,1,0,0,1,False,,0
1196298,25,5441363,2202,31360,5,1,0,3,5,3,0,2,4,1,5,2,0,1,1,2,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2,1,0,2,2,0,0,0,3,2202,1,7,31.36,2,8.81,12.074894163110672,4,2,2,3,2,1,0,0,1,False,True,True,False,0,0.1470975,0,4,1,2,3,2,True,0_tours,0
1363467,24,4146690,2202,58300,2,2,0,0,4,2,2,3,6,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,7,2202,1,8,58.3,2,8.81,10.4823297442415,1,2,2,0,0,0,0,0,0,False,True,True,False,1,0.13233332,0,2,2,0,0,2,True,0_tours,0
386761,16,8338434,2203,21000,3,1,0,1,9,3,0,2,3,1,3,2,0,1,2,0,1,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,1,0,2,2,0,0,0,4,2203,1,9,21.0,1,6.01,5.098171219655474,1,2,2,1,0,1,0,0,0,False,True,True,False,1,0.29656497,0,3,2,0,1,3,True,0_tours,0
2223027,9,936583,2203,133000,2,1,0,0,9,3,2,4,9,1,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,1,2203,1,10,133.0,4,12.86,6.387619611064064,0,2,2,0,0,0,0,0,0,False,True,True,False,0,0.30083168,0,2,2,0,0,2,True,0_tours,0
2832182,7,5627643,2201,0,1,0,2,0,0,0,0,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,9,2201,1,11,0.0,1,6.01,3.0402011627479264,1,1,1,0,0,0,0,0,0,False,False,True,False,0,0.0,0,1,1,0,0,1,False,,0
2727273,20,2482606,2205,118800,2,1,0,0,6,3,2,4,9,2,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,3,2205,1,12,118.8,4,12.86,21.606392235487583,0,2,2,0,0,0,0,0,0,False,True,True,False,1,0.46837,0,2,2,0,0,2,True,0_tours,0
1444715,14,2348663,2203,60000,1,4,0,0,7,1,1,3,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,9,2203,1,13,60.0,2,8.81,4.0074881716523025,0,1,1,0,0,0,0,0,0,True,False,True,False,0,0.112166665,0,0,0,0,0,0,False,,0
112064,16,3266879,2203,18000,1,6,0,0,9,3,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,2,2203,1,14,18.0,1,6.01,2.647107057372401,0,1,1,0,0,0,0,0,0,True,False,True,False,1,0.14704251,0,1,1,0,0,1,False,,0
