person_id,household_id,age,RELATE,ESR,GRADE,PNUM,PAUG,DDP,sex,WEEKS,HOURS,MSP,POVERTY,EARNS,pagecat,pemploy,pstudent,ptype,padkid,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,school_taz,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,cdap_activity,cdap_rank,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours
26478,26478,46,1,6,0,1,0,0,1,0,0,6,53,0,6,3,3,4,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,1.0,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,1,True,False,False,False,,False,False,0,0,0,12,2,0,1,0,1,0,0,2
26686,26686,39,1,6,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,2.84310444200838,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,1,True,False,False,False,,False,False,0,0,0,12,2,0,1,0,1,0,0,2
26844,26844,51,1,3,0,1,0,0,1,0,0,6,41,0,7,3,3,4,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,41.95868930639066,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,1,True,False,False,False,,False,False,0,0,0,2,1,0,0,0,0,0,1,1
27726,27726,52,1,6,0,1,0,0,1,0,0,4,277,0,7,3,3,4,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,10,5.584662029883316,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,1,True,False,False,False,,False,False,0,0,0,1,1,0,0,0,0,1,0,1
27748,27748,57,1,6,0,1,0,0,2,0,0,4,106,0,7,3,3,4,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,10,3.010415373711742,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,H,1,False,False,False,False,,False,False,0,0,0,0,0,0,0,0,0,0,0,0
29625,29625,61,1,6,0,1,0,0,1,0,0,4,48,0,7,3,3,4,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,17,4.768890669889258,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,1,True,False,False,False,,False,False,0,0,0,16,1,0,0,1,0,0,0,1
107628,107628,42,1,1,0,1,0,0,1,52,32,6,210,18100,6,2,3,2,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,6,6.520841092869769,-1,,0.0,9,0.9,True,0.0,5.49,28.304598,0.23587164,False,N,1,True,False,False,False,,False,False,0,0,0,4,1,0,1,0,0,0,0,1
110675,110675,30,1,1,0,1,0,0,1,20,40,6,59,5000,5,2,3,2,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,16,3.9205668642399836,-1,,0.0,8,1.39,True,0.0,9.309999,24.5608,0.20467333,False,H,1,False,False,False,False,,False,False,0,0,0,0,0,0,0,0,0,0,0,0
112064,112064,48,1,1,0,1,0,0,2,26,35,3,208,18000,6,2,3,2,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,16,2.647107057372401,-1,,0.0,12,0.67,True,0.0,4.65,17.645102,0.14704251,False,N,1,True,False,False,False,,False,False,0,0,0,17,2,0,0,1,0,1,0,2
112535,112535,25,1,1,0,1,0,0,2,0,0,6,1,0,5,1,3,1,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,17,12.59957875389906,-1,,0.0,10,1.83,True,0.0,9.04,47.225403,0.39354503,False,H,1,False,False,False,False,,False,False,0,0,0,0,0,0,0,0,0,0,0,0
