tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,tdd,composition,tour_mode,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
10828426,264107,work,1,1,1,1,mandatory,1,9.0,9.0,226869,8.0,18.0,10.0,64.0,,WALK,no_subtours,,0out_0in,work
10834207,264248,work,1,1,1,1,mandatory,1,8.0,10.0,226939,7.0,22.0,15.0,52.0,,WALK_LOC,no_subtours,,3out_0in,work
13271288,323689,work,1,1,1,1,mandatory,1,21.0,10.0,256660,8.0,20.0,12.0,66.0,,WALK,no_subtours,,0out_0in,work
13286130,324051,work,1,1,1,1,mandatory,1,2.0,16.0,256841,7.0,14.0,7.0,44.0,,WALK,no_subtours,,0out_0in,work
13286171,324052,work,1,1,1,1,mandatory,1,13.0,16.0,256841,9.0,18.0,9.0,79.0,,WALK,no_subtours,,0out_0in,work
13321308,324909,work,1,1,1,1,mandatory,1,2.0,16.0,257270,8.0,18.0,10.0,64.0,,WALK,no_subtours,,0out_0in,work
13342710,325431,work,1,1,1,1,mandatory,1,11.0,16.0,257531,10.0,19.0,9.0,94.0,,WALK_LOC,no_subtours,,2out_2in,work
13350582,325623,work,1,1,1,2,mandatory,1,6.0,16.0,257627,15.0,20.0,5.0,150.0,,WALK,no_subtours,,1out_0in,work
13350574,325623,school,1,1,2,2,mandatory,1,13.0,16.0,257627,21.0,23.0,2.0,186.0,,WALK_LOC,,,0out_3in,univ
13350623,325624,work,1,1,1,1,mandatory,1,15.0,16.0,257627,6.0,17.0,11.0,30.0,,WALK,no_subtours,,0out_0in,work
15826359,386008,school,1,1,1,1,mandatory,1,10.0,9.0,287819,7.0,7.0,0.0,37.0,,SHARED2FREE,,,0out_0in,school
15828573,386062,school,1,1,1,1,mandatory,1,13.0,9.0,287846,6.0,13.0,7.0,26.0,,WALK_LRF,,,0out_0in,school
17156120,418441,work,1,1,1,1,mandatory,1,2.0,10.0,304036,7.0,18.0,11.0,48.0,,WALK_LRF,no_subtours,,0out_0in,work
17156153,418442,school,1,1,1,1,mandatory,1,9.0,10.0,304036,7.0,14.0,7.0,44.0,,WALK,,,0out_0in,school
24423157,595686,school,1,1,1,1,mandatory,1,8.0,21.0,370497,8.0,16.0,8.0,62.0,,WALK_LOC,,,0out_0in,school
26415929,644290,work,1,1,1,1,mandatory,1,12.0,7.0,386699,7.0,17.0,10.0,47.0,,WALK_LOC,no_subtours,,0out_0in,work
26415970,644291,work,1,1,1,1,mandatory,1,4.0,7.0,386699,9.0,19.0,10.0,80.0,,WALK,no_subtours,,0out_1in,work
26416003,644292,school,1,1,1,1,mandatory,1,7.0,7.0,386699,7.0,10.0,3.0,40.0,,WALK,,,0out_0in,school
26423555,644476,work,1,1,1,1,mandatory,1,9.0,16.0,386761,9.0,15.0,6.0,76.0,,WALK_LRF,no_subtours,,0out_0in,work
26423629,644478,school,1,1,1,1,mandatory,1,7.0,16.0,386761,8.0,15.0,7.0,61.0,,WALK_LOC,,,0out_0in,school
55599196,1356077,work,1,1,1,1,mandatory,1,9.0,20.0,658964,8.0,17.0,9.0,63.0,,WALK,no_subtours,,0out_0in,work
55606658,1356259,work,1,1,1,1,mandatory,1,15.0,21.0,659146,8.0,17.0,9.0,63.0,,WALK,no_subtours,,0out_0in,work
60521738,1476139,work,1,1,1,1,mandatory,1,16.0,7.0,727854,10.0,20.0,10.0,95.0,,WALK_LOC,no_subtours,,0out_2in,work
66896336,1631617,work,1,1,1,1,mandatory,1,24.0,9.0,822837,8.0,18.0,10.0,64.0,,WALK_LRF,eat,,0out_1in,work
66922207,1632248,work,1,1,1,1,mandatory,1,15.0,11.0,823468,8.0,17.0,9.0,63.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
66923560,1632281,work,1,1,1,1,mandatory,1,2.0,12.0,823501,7.0,18.0,11.0,48.0,,WALK_LOC,eat,,0out_0in,work
66952506,1632987,work,1,1,1,1,mandatory,1,4.0,18.0,824207,15.0,15.0,0.0,145.0,,WALK,no_subtours,,0out_0in,work
72744896,1774265,school,1,1,1,1,mandatory,1,12.0,7.0,932147,16.0,21.0,5.0,159.0,,WALK_LOC,,,3out_2in,univ
72744945,1774266,work,1,1,1,1,mandatory,1,14.0,7.0,932147,6.0,15.0,9.0,28.0,,WALK,no_subtours,,0out_0in,work
76904600,1875721,work,1,1,1,1,mandatory,1,16.0,16.0,982875,10.0,20.0,10.0,95.0,,BIKE,no_subtours,,0out_0in,work
76918786,1876067,work,1,1,1,1,mandatory,1,5.0,17.0,983048,6.0,15.0,9.0,28.0,,WALK_LRF,no_subtours,,0out_0in,work
76918827,1876068,work,1,1,1,2,mandatory,1,1.0,17.0,983048,8.0,14.0,6.0,60.0,,WALK_LRF,no_subtours,,1out_1in,work
76918819,1876068,school,1,1,2,2,mandatory,1,12.0,17.0,983048,17.0,17.0,0.0,162.0,,WALK_LRF,,,0out_1in,univ
80305829,1958678,school,1,1,1,1,mandatory,1,9.0,9.0,1024353,7.0,17.0,10.0,47.0,,WALK,,,0out_0in,school
88521376,2159057,work,1,1,1,1,mandatory,1,21.0,20.0,1099626,8.0,18.0,10.0,64.0,,DRIVEALONEFREE,no_subtours,,1out_1in,work
88521409,2159058,school,1,1,1,1,mandatory,1,10.0,20.0,1099626,8.0,8.0,0.0,54.0,,DRIVEALONEFREE,,,0out_0in,univ
88521450,2159059,school,1,1,1,1,mandatory,1,10.0,20.0,1099626,7.0,15.0,8.0,45.0,,WALK,,,0out_0in,school
91019875,2219996,work,1,1,1,1,mandatory,1,1.0,16.0,1119939,8.0,20.0,12.0,66.0,,WALK,no_subtours,,0out_0in,work
91019916,2219997,work,1,1,1,1,mandatory,1,15.0,16.0,1119939,7.0,17.0,10.0,47.0,,WALK,eat,,0out_0in,work
91019949,2219998,school,1,1,1,1,mandatory,1,18.0,16.0,1119939,8.0,20.0,12.0,66.0,,WALK_LRF,,,0out_0in,school
100798613,2458502,school,1,1,1,1,mandatory,1,8.0,8.0,1173905,14.0,19.0,5.0,140.0,,WALK,,,0out_2in,school
100798654,2458503,school,1,1,1,1,mandatory,1,9.0,8.0,1173905,8.0,16.0,8.0,62.0,,WALK,,,0out_0in,school
105234657,2566698,work,1,1,1,1,mandatory,1,22.0,25.0,1196298,6.0,18.0,12.0,31.0,,WALK_LRF,no_subtours,,0out_0in,work
105234731,2566700,school,1,1,1,1,mandatory,1,21.0,25.0,1196298,7.0,15.0,8.0,45.0,,WALK_LOC,,,0out_0in,school
105234772,2566701,school,1,1,1,1,mandatory,1,25.0,25.0,1196298,7.0,14.0,7.0,44.0,,WALK,,,0out_0in,school
105234813,2566702,school,1,1,1,1,mandatory,1,16.0,25.0,1196298,6.0,10.0,4.0,23.0,,WALK_LOC,,,0out_0in,school
117968683,2877284,work,1,1,1,2,mandatory,1,11.0,10.0,1259353,8.0,12.0,4.0,58.0,,WALK_LOC,no_subtours,,1out_3in,work
117968675,2877284,school,1,1,2,2,mandatory,1,10.0,10.0,1259353,15.0,15.0,0.0,145.0,,WALK,,,0out_0in,univ
117968798,2877287,school,1,1,1,1,mandatory,1,20.0,10.0,1259353,7.0,12.0,5.0,42.0,,WALK,,,0out_0in,school
121244665,2957186,work,1,1,1,1,mandatory,1,1.0,7.0,1306895,9.0,18.0,9.0,79.0,,WALK,no_subtours,,0out_0in,work
125537734,3061895,work,1,1,1,1,mandatory,1,22.0,24.0,1363467,8.0,18.0,10.0,64.0,,DRIVE_LOC,no_subtours,,0out_0in,work
130727801,3188482,work,1,1,1,1,mandatory,1,13.0,25.0,1402945,8.0,13.0,5.0,59.0,,WALK,no_subtours,,1out_0in,work
130727842,3188483,work,1,1,1,1,mandatory,1,1.0,25.0,1402945,8.0,15.0,7.0,61.0,,WALK,no_subtours,,0out_0in,work
130727883,3188484,work,1,1,1,2,mandatory,1,15.0,25.0,1402945,8.0,15.0,7.0,61.0,,WALK,no_subtours,,0out_0in,work
130727875,3188484,school,1,1,2,2,mandatory,1,12.0,25.0,1402945,18.0,23.0,5.0,174.0,,WALK_LOC,,,0out_1in,univ
