trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,depart,trip_mode
8684833,26478,26478,1085604,eatout,1,True,1,eatout,7,8,11,WALK
8684837,26478,26478,1085604,eatout,1,False,1,Home,8,7,11,WALK
8685009,26478,26478,1085626,othmaint,1,True,1,othmaint,9,8,12,WALK
8685013,26478,26478,1085626,othmaint,1,False,1,Home,8,9,13,WALK
8753057,26686,26686,1094132,eatout,1,True,1,eatout,5,8,19,WALK
8753061,26686,26686,1094132,eatout,1,False,1,Home,8,5,19,WALK
8753233,26686,26686,1094154,othmaint,1,True,1,othmaint,11,8,12,WALK_LOC
8753237,26686,26686,1094154,othmaint,1,False,1,Home,8,11,13,WALK
8805121,26844,26844,1100640,social,1,True,1,social,2,8,8,WALK
8805125,26844,26844,1100640,social,1,False,2,othmaint,5,2,12,WALK
8805126,26844,26844,1100640,social,2,False,2,Home,8,5,12,WALK
9094329,27726,27726,1136791,othdiscr,1,True,1,othdiscr,19,10,8,WALK
9094333,27726,27726,1136791,othdiscr,1,False,1,Home,10,19,10,WALK
9717265,29625,29625,1214658,shopping,1,True,1,shopping,19,17,15,WALK
9717269,29625,29625,1214658,shopping,1,False,1,Home,17,19,15,WALK
35302033,107628,107628,4412754,eatout,1,True,1,eatout,16,6,11,WALK
35302037,107628,107628,4412754,eatout,1,False,1,Home,6,16,20,WALK
36757193,112064,112064,4594649,othdiscr,1,True,1,othdiscr,16,16,12,WALK
36757197,112064,112064,4594649,othdiscr,1,False,1,Home,16,16,14,WALK
36757257,112064,112064,4594657,shopping,1,True,1,shopping,24,16,16,WALK
36757261,112064,112064,4594657,shopping,1,False,1,Home,16,24,17,WALK
86627409,264107,226869,10828426,work,1,True,1,work,9,9,8,WALK
86627413,264107,226869,10828426,work,1,False,1,Home,9,9,18,WALK
86627625,264108,226869,10828453,othdiscr,1,True,1,othdiscr,12,9,10,WALK
86627629,264108,226869,10828453,othdiscr,1,False,1,Home,9,12,11,WALK
86673657,264248,226939,10834207,work,1,True,4,othmaint,10,10,7,WALK
86673658,264248,226939,10834207,work,2,True,4,eatout,6,10,8,WALK
86673659,264248,226939,10834207,work,3,True,4,escort,7,6,8,WALK
86673660,264248,226939,10834207,work,4,True,4,work,8,7,10,WALK
86673661,264248,226939,10834207,work,1,False,1,Home,10,8,22,WALK
106170305,323689,256660,13271288,work,1,True,1,work,21,10,8,WALK
106170309,323689,256660,13271288,work,1,False,1,Home,10,21,20,WALK
106289041,324051,256841,13286130,work,1,True,1,work,2,16,7,WALK
106289045,324051,256841,13286130,work,1,False,1,Home,16,2,14,WALK
106289369,324052,256841,13286171,work,1,True,1,work,13,16,9,WALK
106289373,324052,256841,13286171,work,1,False,1,Home,16,13,18,WALK
106570201,324909,257270,13321275,eatout,1,True,1,eatout,16,16,18,WALK
106570205,324909,257270,13321275,eatout,1,False,1,Home,16,16,19,WALK
106570465,324909,257270,13321308,work,1,True,1,work,2,16,8,WALK
106570469,324909,257270,13321308,work,1,False,1,Home,16,2,18,WALK
106741681,325431,257531,13342710,work,1,True,3,othmaint,5,16,10,WALK
106741682,325431,257531,13342710,work,2,True,3,othmaint,9,5,11,WALK
106741683,325431,257531,13342710,work,3,True,3,work,11,9,11,WALK_LOC
106741685,325431,257531,13342710,work,1,False,3,eatout,5,11,18,WALK_LOC
106741686,325431,257531,13342710,work,2,False,3,shopping,25,5,18,WALK
106741687,325431,257531,13342710,work,3,False,3,Home,16,25,19,WALK
106741961,325432,257531,13342745,shopping,1,True,1,shopping,16,16,12,WALK
106741965,325432,257531,13342745,shopping,1,False,1,Home,16,16,13,WALK
106804593,325623,257627,13350574,univ,1,True,1,univ,13,16,21,WALK
106804597,325623,257627,13350574,univ,1,False,4,escort,9,13,21,WALK_LOC
106804598,325623,257627,13350574,univ,2,False,4,shopping,5,9,23,WALK
106804599,325623,257627,13350574,univ,3,False,4,othdiscr,8,5,23,WALK_LOC
106804600,325623,257627,13350574,univ,4,False,4,Home,16,8,23,WALK_LOC
106804657,325623,257627,13350582,work,1,True,2,othmaint,5,16,15,WALK
106804658,325623,257627,13350582,work,2,True,2,work,6,5,16,WALK
106804661,325623,257627,13350582,work,1,False,1,Home,16,6,20,WALK
106804985,325624,257627,13350623,work,1,True,1,work,15,16,6,WALK
106804989,325624,257627,13350623,work,1,False,1,Home,16,15,17,WALK
126610345,386007,287819,15826293,eatout,1,True,1,eatout,13,9,7,WALK
126610349,386007,287819,15826293,eatout,1,False,1,Home,9,13,12,WALK
126610561,386007,287819,15826320,shopping,1,True,1,shopping,16,9,13,WALK_LRF
126610565,386007,287819,15826320,shopping,1,False,2,shopping,11,16,14,WALK_LOC
126610566,386007,287819,15826320,shopping,2,False,2,Home,9,11,14,WALK_LOC
126610873,386008,287819,15826359,school,1,True,1,school,10,9,7,SHARED2FREE
126610877,386008,287819,15826359,school,1,False,1,Home,9,10,7,WALK
126610889,386008,287819,15826361,shopping,1,True,1,shopping,16,9,10,WALK
126610893,386008,287819,15826361,shopping,1,False,2,shopping,7,16,22,WALK
126610894,386008,287819,15826361,shopping,2,False,2,Home,9,7,22,WALK
126628233,386061,287846,15828529,othmaint,1,True,1,othmaint,5,9,8,WALK
126628237,386061,287846,15828529,othmaint,1,False,1,Home,9,5,16,WALK
126628585,386062,287846,15828573,school,1,True,1,school,13,9,6,WALK_LRF
126628589,386062,287846,15828573,school,1,False,1,Home,9,13,13,WALK_LRF
137248697,418441,304036,17156087,eatout,1,True,1,eatout,15,10,21,DRIVEALONEFREE
137248701,418441,304036,17156087,eatout,1,False,2,shopping,20,15,22,DRIVEALONEFREE
137248702,418441,304036,17156087,eatout,2,False,2,Home,10,20,22,DRIVEALONEFREE
137248721,418441,304036,17156090,escort,1,True,1,escort,9,10,7,WALK
137248725,418441,304036,17156090,escort,1,False,1,Home,10,9,7,WALK
137248961,418441,304036,17156120,work,1,True,1,work,2,10,7,WALK_LRF
137248965,418441,304036,17156120,work,1,False,1,Home,10,2,18,WALK
137249225,418442,304036,17156153,school,1,True,1,school,9,10,7,WALK
137249229,418442,304036,17156153,school,1,False,1,Home,10,9,14,WALK
195385257,595686,370497,24423157,school,1,True,1,school,8,21,8,WALK_LOC
195385261,595686,370497,24423157,school,1,False,1,Home,21,8,16,WALK
211327433,644290,386699,26415929,work,1,True,1,work,12,7,7,WALK
211327437,644290,386699,26415929,work,1,False,1,Home,7,12,17,WALK_LOC
211327497,644291,386699,26415937,eatout,1,True,1,eatout,8,7,21,WALK
211327501,644291,386699,26415937,eatout,1,False,1,Home,7,8,21,WALK
211327761,644291,386699,26415970,work,1,True,1,work,4,7,9,WALK
211327765,644291,386699,26415970,work,1,False,2,shopping,11,4,18,WALK
211327766,644291,386699,26415970,work,2,False,2,Home,7,11,19,WALK
211328025,644292,386699,26416003,school,1,True,1,school,7,7,7,WALK
211328029,644292,386699,26416003,school,1,False,1,Home,7,7,10,WALK
211388201,644476,386761,26423525,escort,1,True,1,escort,17,16,6,WALK
211388205,644476,386761,26423525,escort,1,False,1,Home,16,17,7,WALK
211388353,644476,386761,26423544,othmaint,1,True,1,othmaint,4,16,16,WALK
211388357,644476,386761,26423544,othmaint,1,False,1,Home,16,4,18,WALK
211388393,644476,386761,26423549,shopping,1,True,1,shopping,11,16,19,WALK
211388397,644476,386761,26423549,shopping,1,False,1,Home,16,11,20,WALK
211388441,644476,386761,26423555,work,1,True,1,work,9,16,9,WALK_LOC
211388445,644476,386761,26423555,work,1,False,1,Home,16,9,15,WALK_LOC
211388721,644477,386761,26423590,shopping,1,True,1,shopping,16,16,14,WALK
211388725,644477,386761,26423590,shopping,1,False,1,Home,16,16,15,WALK
