N,X,Y,TAZID,CBD,COUNTY,CO_TAZID,CO_FIPS,CO_NAME,CITY,CITY_FIPS,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,HOT_ZONEID,DMED_NAME,DISTSML,DSML_NAME,EXTERNAL,URBANVAL,DEVACRES,ATYPE,PNR,CRTFAREZN,NODENAME,HHPOP,TOTHH,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,TranStop
1,410051,4604806,1,0,5,30001,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.16,0,1,0,0,NA,2,1,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,408993,4603544,2,0,5,30002,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.16,0,1,0,0,NA,46,15,3.02,4,1,3,0,5,1,0,0,3,0,0,0,0,0,0,1,0,NA
3,410126,4602742,3,0,5,30003,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.16,0,1,0,0,NA,13,5,2.47,3,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,NA
4,408249,4601825,4,0,5,30004,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.13,0,1,0,0,NA,39,21,1.87,24,2,18,4,88,2,0,1,17,0,1,0,3,62,0,1,0,NA
5,409373,4600722,5,0,5,30005,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.35,0,1,0,0,NA,79,31,2.58,70,0,68,1,72,0,0,1,68,0,0,0,0,0,0,2,0,NA
6,410283,4600358,6,0,5,30006,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,1,North of Brigham City,0,0.35,0,1,0,0,NA,43,15,2.83,44,1,43,0,45,1,0,0,43,0,0,0,0,0,0,1,0,NA
7,411821,4601943,7,0,5,30007,3,BOX ELDER,0,8460,Brigham City,1,WFRC - BE,1,0,North of Brigham City,2,North of Brigham City,0,0.17,0,1,0,0,NA,0,0,0,172,10,135,28,192,6,3,74,61,3,8,4,13,14,0,0,0,NA
8,411935,4605642,8,0,5,30008,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,2,North of Brigham City,0,0.14,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9,412641,4606013,9,0,5,30009,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,2,North of Brigham City,0,0.14,0,1,0,0,NA,48,12,3.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
10,413394,4603600,10,0,5,30010,3,BOX ELDER,0,0,Box Elder County,1,WFRC - BE,1,0,North of Brigham City,2,North of Brigham City,0,0.14,0,1,0,0,NA,163,56,2.93,11,2,0,8,15,2,0,0,0,0,0,2,7,0,0,3,0,NA
