service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,0,0,0,0,1,0,20190811,20191130
3,0,0,0,0,0,0,1,20190811,20191130
4,1,1,1,1,1,0,0,20190811,20191130
8,0,0,0,0,0,0,0,20190811,20191130
12,0,0,0,0,0,0,0,20190811,20191130
16,0,0,0,0,0,0,0,20190811,20191130
17,0,0,0,0,0,0,0,20190811,20191130
207302,0,0,0,0,0,0,0,20190811,20191130
504,0,0,0,0,0,0,0,20190811,20191130
1004,0,0,0,0,0,0,0,20190811,20191130
12704,0,0,0,0,0,0,0,20190811,20191130
13304,0,0,0,0,0,0,0,20190811,20191130
24904,0,0,0,0,0,0,0,20190811,20191130
46304,0,0,0,0,0,0,0,20190811,20191130
71304,0,0,0,0,0,0,0,20190811,20191130
123704,0,0,0,0,0,0,0,20190811,20191130
128004,0,0,0,0,0,0,0,20190811,20191130
142204,0,0,0,0,0,0,0,20190811,20191130
150804,0,0,0,0,0,0,0,20190811,20191130
210704,0,0,0,0,0,0,0,20190811,20191130
276904,0,0,0,0,0,0,0,20190811,20191130
340804,0,0,0,0,0,0,0,20190811,20191130
340904,0,0,0,0,0,0,0,20190811,20191130
