trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,depart,trip_mode
584406441,1781726,616102,73050805,work,1,TRUE,2,escort,2370,2335,5,WALK_LOC
584406442,1781726,616102,73050805,work,2,TRUE,2,work,2370,2370,5,WALK
689176529,2101147,710247,86147066,work,1,TRUE,2,escort,2374,2438,5,WALK_LOC
584725913,1782700,616543,73090739,work,1,TRUE,1,work,2370,2324,6,BIKE
677519409,2065607,700226,84689926,work,1,TRUE,1,work,2393,2392,6,WALK
683785609,2084712,705746,85473201,escort,1,TRUE,1,escort,2396,2414,6,WALK
683785613,2084712,705746,85473201,escort,1,FALSE,1,Home,2414,2396,6,WALK
688405009,2098795,709518,86050626,school,1,TRUE,1,school,2394,2434,6,WALK_LOC
689176530,2101147,710247,86147066,work,2,TRUE,2,work,2370,2374,6,SHARED3FREE
689622697,2102508,710850,86202837,escort,1,TRUE,1,escort,2441,2436,6,SHARED3FREE
689622701,2102508,710850,86202837,escort,1,FALSE,1,Home,2436,2441,6,SHARED3FREE
693572713,2114550,714644,86696589,work,1,TRUE,1,work,2362,2462,6,DRIVEALONEFREE
575233529,1753760,606989,71904191,school,1,TRUE,1,school,2351,2320,7,SHARED3FREE
581328489,1772342,613075,72666061,work,1,TRUE,1,work,2296,2314,7,DRIVEALONEFREE
660187169,2012765,683868,82523396,school,1,TRUE,1,school,2394,2360,7,WALK_LOC
667149297,2033991,690107,83393662,school,1,TRUE,1,school,2358,2366,7,WALK_LOC
672096257,2049073,694740,84012032,work,1,TRUE,1,work,2370,2374,7,WALK
672108657,2049111,694746,84013582,univ,1,TRUE,4,escort,2452,2374,7,WALK
672323561,2049766,694855,84040445,work,1,TRUE,1,work,2445,2374,7,BIKE
673245569,2052577,695730,84155696,work,1,TRUE,1,work,2355,2375,7,BIKE
677586601,2065812,700310,84698325,shopping,1,TRUE,1,shopping,2359,2396,7,WALK
677858169,2066640,700476,84732271,school,1,TRUE,1,school,2394,2396,7,SHARED3FREE
681145057,2076661,703488,85143132,school,1,TRUE,1,school,2319,2390,7,SHARED3FREE
681362193,2077323,703619,85170274,school,1,TRUE,1,school,2333,2390,7,WALK
682059849,2079450,704305,85257481,school,1,TRUE,1,school,2434,2395,7,WALK
683237697,2083041,705205,85404712,school,1,TRUE,1,school,2415,2412,7,WALK_LOC
684602505,2087202,706441,85575313,school,1,TRUE,1,school,2422,2417,7,WALK
685392329,2089610,707122,85674041,school,1,TRUE,1,school,2396,2421,7,SHARED2FREE
685573713,2090163,707290,85696714,school,1,TRUE,1,school,2394,2422,7,DRIVEALONEFREE
687298993,2095423,708604,85912374,school,1,TRUE,2,escort,2423,2431,7,SHARED3FREE
689622873,2102508,710850,86202859,school,1,TRUE,1,school,2378,2436,7,WALK
690197177,2104259,711529,86274647,othmaint,1,TRUE,1,othmaint,2370,2448,7,WALK
690896825,2106392,712169,86362103,school,1,TRUE,1,school,2370,2451,7,SHARED3FREE
693341801,2113846,714438,86667725,work,1,TRUE,1,work,2469,2462,7,DRIVEALONEFREE
693889561,2115516,714963,86736195,work,1,TRUE,1,work,2421,2468,7,SHARED2FREE
695348177,2119963,716323,86918522,work,1,TRUE,1,work,2468,2441,7,DRIVEALONEFREE
695441265,2120247,716375,86930158,school,1,TRUE,1,school,2394,2441,7,WALK_LOC
695679065,2120972,716601,86959883,school,1,TRUE,1,school,2430,2443,7,SHARED3FREE
575977169,1756027,607767,71997146,work,1,TRUE,1,work,2393,2322,8,DRIVEALONEFREE
581635913,1773280,613305,72704489,escort,1,TRUE,1,escort,2332,2327,8,DRIVEALONEFREE
581635917,1773280,613305,72704489,escort,1,FALSE,1,Home,2327,2332,8,SHARED2FREE
582993681,1777419,614705,72874210,school,1,TRUE,1,school,2365,2333,8,WALK_LOC
661686521,2017336,685258,82710815,work,1,TRUE,1,work,2442,2347,8,DRIVEALONEFREE
664798673,2026825,687795,83099834,escort,1,TRUE,1,escort,2346,2354,8,SHARED2FREE
664798677,2026825,687795,83099834,escort,1,FALSE,1,Home,2354,2346,8,SHARED2FREE
669890721,2042349,692782,83736340,school,1,TRUE,1,school,2352,2377,8,SHARED3FREE
670841329,2045247,693692,83855166,work,1,TRUE,1,work,2370,2369,8,WALK
672108658,2049111,694746,84013582,univ,2,TRUE,4,eatout,2325,2452,8,WALK_LOC
672108659,2049111,694746,84013582,univ,3,TRUE,4,escort,2374,2325,8,WALK_LOC
672108660,2049111,694746,84013582,univ,4,TRUE,4,univ,2370,2374,8,WALK_LOC
672108661,2049111,694746,84013582,univ,1,FALSE,1,Home,2374,2370,8,WALK_LOC
676866953,2063618,699420,84608369,school,1,TRUE,1,school,2454,2403,8,WALK_LOC
678558841,2068776,701126,84819855,work,1,TRUE,1,work,2436,2401,8,BIKE
678785753,2069468,701243,84848219,school,1,TRUE,1,school,2374,2401,8,SHARED3FREE
680195233,2073765,702572,85024404,work,1,TRUE,1,work,2362,2388,8,SHARED2FREE
681028353,2076305,703333,85128544,work,1,TRUE,1,work,2407,2389,8,DRIVEALONEFREE
681950033,2079115,704142,85243754,work,1,TRUE,1,work,2436,2391,8,SHARED2FREE
683531913,2083938,705537,85441489,school,1,TRUE,1,school,2409,2413,8,WALK
684815377,2087851,706562,85601922,school,1,TRUE,1,school,2391,2417,8,SHARED3FREE
687298994,2095423,708604,85912374,school,2,TRUE,2,school,2378,2423,8,SHARED2FREE
689583841,2102389,710803,86197980,school,1,TRUE,1,school,2394,2407,8,WALK_LOC
689583845,2102389,710803,86197980,school,1,FALSE,1,Home,2407,2394,8,WALK_LOC
691718745,2108898,712922,86464843,othdiscr,1,TRUE,1,othdiscr,2393,2449,8,WALK
570820025,1740304,602716,71352503,work,1,TRUE,1,work,2282,2296,9,WALK
582038281,1774506,613787,72754785,work,1,TRUE,1,work,2336,2331,9,WALK
584554433,1782178,616294,73069304,eatout,1,TRUE,1,eatout,2362,2335,9,DRIVEALONEFREE
586245817,1787334,618193,73280727,shopping,1,TRUE,1,shopping,2359,2337,9,DRIVEALONEFREE
657728433,2005269,681760,82216054,othdiscr,1,TRUE,3,othmaint,2445,2344,9,DRIVEALONEFREE
660231185,2012899,683892,82528898,work,1,TRUE,1,work,2436,2360,9,BIKE
668114425,2036934,691051,83514303,escort,1,TRUE,1,escort,2414,2367,9,SHARED3FREE
677519129,2065607,700226,84689891,atwork,1,TRUE,1,atwork,2446,2393,9,WALK
679559505,2071827,702031,84944938,univ,1,TRUE,1,univ,2370,2405,9,WALK
681750849,2078508,703953,85218856,othmaint,1,TRUE,1,othmaint,2389,2391,9,DRIVEALONEFREE
682877529,2081943,704999,85359691,othmaint,1,TRUE,1,othmaint,2370,2412,9,DRIVEALONEFREE
690493449,2105162,711822,86311681,work,1,TRUE,1,work,2370,2450,9,DRIVEALONEFREE
692846281,2112336,713959,86605785,escort,1,TRUE,1,escort,2462,2461,9,DRIVEALONEFREE
692846285,2112336,713959,86605785,escort,1,FALSE,1,Home,2461,2462,9,SHARED2FREE
695576793,2120660,716538,86947099,work,1,TRUE,2,othmaint,2361,2443,9,DRIVEALONEFREE
696110777,2122288,716975,87013847,work,1,TRUE,1,work,2469,2456,9,BIKE
583813353,1779918,615557,72976669,school,1,TRUE,1,school,2406,2334,10,SHARED3FREE
586245821,1787334,618193,73280727,shopping,1,FALSE,1,Home,2337,2359,10,DRIVEALONEFREE
657728434,2005269,681760,82216054,othdiscr,2,TRUE,3,social,2374,2445,10,DRIVEALONEFREE
658947673,2008986,682736,82368459,shopping,1,TRUE,1,shopping,2362,2357,10,SHARED2FREE
660390921,2013386,684024,82548865,work,1,TRUE,2,shopping,2393,2360,10,WALK
673566681,2053556,695971,84195835,work,1,TRUE,1,work,2370,2375,10,WALK
673655897,2053828,696107,84206987,work,1,TRUE,1,work,2435,2375,10,WALK
676157441,2061455,698539,84519680,othdiscr,1,TRUE,1,othdiscr,2446,2394,10,WALK
676866957,2063618,699420,84608369,school,1,FALSE,1,Home,2403,2454,10,WALK_LOC
677858173,2066640,700476,84732271,school,1,FALSE,1,Home,2396,2394,10,SHARED3FREE
678558845,2068776,701126,84819855,work,1,FALSE,1,Home,2401,2436,10,BIKE
690051257,2103814,711341,86256407,shopping,1,TRUE,1,shopping,2404,2447,10,BIKE
690051261,2103814,711341,86256407,shopping,1,FALSE,1,Home,2447,2404,10,BIKE
690197181,2104259,711529,86274647,othmaint,1,FALSE,1,Home,2448,2370,10,DRIVEALONEFREE
691718749,2108898,712922,86464843,othdiscr,1,FALSE,1,Home,2449,2393,10,WALK
692413169,2111015,713609,86551646,school,1,TRUE,1,school,2394,2454,10,WALK_LOC
695576794,2120660,716538,86947099,work,2,TRUE,2,work,2450,2361,10,DRIVEALONEFREE
571280121,1741707,603027,71410015,othmaint,1,TRUE,1,othmaint,2318,2296,11,WALK
583095033,1777728,614771,72886879,school,1,TRUE,1,school,2352,2333,11,WALK_LOC
586206457,1787214,618139,73275807,shopping,1,TRUE,1,shopping,2404,2337,11,WALK_LOC
660390922,2013386,684024,82548865,work,2,TRUE,2,work,2392,2393,11,WALK
663718433,2023531,687017,82964804,shopping,1,TRUE,1,shopping,2325,2352,11,DRIVEALONEFREE
